year,month,port,volume,unit
2017,1,santos,565874,ton
2017,1,paranagua,432380,ton
2017,1,rio-grande,380660,ton
2017,1,itaqui,0,ton
2017,1,sao-francisco,0,ton
2017,1,vitoria,0,ton
2017,1,itacoatiara,55276,ton
2017,1,santarem,54241,ton
2017,1,vila-do-conde,0,ton
2017,1,aratu,0,ton
2017,1,ilheus,0,ton
2017,1,imbituba,0,ton
2017,1,santana,0,ton
2017,1,barra-dos-coqueiros,0,ton
2017,2,santos,2528022,ton
2017,2,paranagua,1388776,ton
2017,2,rio-grande,181782,ton
2017,2,itaqui,127809,ton
2017,2,sao-francisco,385549,ton
2017,2,vitoria,134494,ton
2017,2,itacoatiara,286599,ton
2017,2,santarem,390624,ton
2017,2,vila-do-conde,520798,ton
2017,2,aratu,0,ton
2017,2,ilheus,0,ton
2017,2,imbituba,133071,ton
2017,2,santana,0,ton
2017,2,barra-dos-coqueiros,0,ton
2017,3,santos,3686161,ton
2017,3,paranagua,1464098,ton
2017,3,rio-grande,883919,ton
2017,3,itaqui,739347,ton
2017,3,sao-francisco,759343,ton
2017,3,vitoria,535858,ton
2017,3,itacoatiara,412083,ton
2017,3,santarem,337838,ton
2017,3,vila-do-conde,474703,ton
2017,3,aratu,271136,ton
2017,3,ilheus,0,ton
2017,3,imbituba,158032,ton
2017,3,santana,0,ton
2017,3,barra-dos-coqueiros,0,ton
2017,4,santos,2994583,ton
2017,4,paranagua,1382977,ton
2017,4,rio-grande,1713660,ton
2017,4,itaqui,1136403,ton
2017,4,sao-francisco,718905,ton
2017,4,vitoria,458384,ton
2017,4,itacoatiara,482931,ton
2017,4,santarem,323722,ton
2017,4,vila-do-conde,779769,ton
2017,4,aratu,443006,ton
2017,4,ilheus,30000,ton
2017,4,imbituba,85848,ton
2017,4,santana,0,ton
2017,4,barra-dos-coqueiros,0,ton
2017,5,santos,3022520,ton
2017,5,paranagua,859197,ton
2017,5,rio-grande,1703208,ton
2017,5,itaqui,782084,ton
2017,5,sao-francisco,749076,ton
2017,5,vitoria,541317,ton
2017,5,itacoatiara,252057,ton
2017,5,santarem,382104,ton
2017,5,vila-do-conde,729131,ton
2017,5,aratu,380545,ton
2017,5,ilheus,32699,ton
2017,5,imbituba,93614,ton
2017,5,santana,0,ton
2017,5,barra-dos-coqueiros,0,ton
2017,6,santos,2110875,ton
2017,6,paranagua,1166733,ton
2017,6,rio-grande,1240999,ton
2017,6,itaqui,1091325,ton
2017,6,sao-francisco,640244,ton
2017,6,vitoria,452237,ton
2017,6,itacoatiara,318994,ton
2017,6,santarem,330925,ton
2017,6,vila-do-conde,761835,ton
2017,6,aratu,339824,ton
2017,6,ilheus,30000,ton
2017,6,imbituba,129993,ton
2017,6,santana,0,ton
2017,6,barra-dos-coqueiros,0,ton
2017,7,santos,1062151,ton
2017,7,paranagua,1085063,ton
2017,7,rio-grande,1375162,ton
2017,7,itaqui,696669,ton
2017,7,sao-francisco,515318,ton
2017,7,vitoria,417666,ton
2017,7,itacoatiara,105064,ton
2017,7,santarem,55600,ton
2017,7,vila-do-conde,557468,ton
2017,7,aratu,383088,ton
2017,7,ilheus,0,ton
2017,7,imbituba,60116,ton
2017,7,santana,0,ton
2017,7,barra-dos-coqueiros,0,ton
2017,8,santos,391278,ton
2017,8,paranagua,1126206,ton
2017,8,rio-grande,1573750,ton
2017,8,itaqui,825979,ton
2017,8,sao-francisco,394882,ton
2017,8,vitoria,461536,ton
2017,8,itacoatiara,41758,ton
2017,8,santarem,31995,ton
2017,8,vila-do-conde,330191,ton
2017,8,aratu,537382,ton
2017,8,ilheus,0,ton
2017,8,imbituba,163304,ton
2017,8,santana,0,ton
2017,8,barra-dos-coqueiros,0,ton
2017,9,santos,72034,ton
